Release Group,%...5,%...7,tconst,startYear,runtimeMinutes,g1,g2,g3,averageRating,numVotes,Total
Avengers: Endgame,30.7%,69.3%,tt4154796,2019-01-01,181,Action,Adventure,Drama,8.4,1033089,2797501328
Avengers: Infinity War,33.1%,66.9%,tt4154756,2018-01-01,149,Action,Adventure,Sci-Fi,8.5,998241,2048359754
Spider-Man: No Way Home,42.5%,57.5%,tt10872600,2021-01-01,148,Action,Adventure,Fantasy,8.5,564567,1892570726
The Lion King,32.8%,67.2%,tt0110357,1994-01-01,88,Adventure,Animation,Drama,8.5,1017294,1656943394
Frozen II,32.9%,67.1%,tt4520988,2019-01-01,103,Adventure,Animation,Comedy,6.8,162951,1450026933
Black Panther,52%,48%,tt1825683,2018-01-01,134,Action,Adventure,Sci-Fi,7.3,714215,1346913161
Star Wars: Episode VIII - The Last Jedi,46.5%,53.5%,tt2527336,2017-01-01,152,Action,Adventure,Fantasy,6.9,607778,1332539889
Jurassic World: Fallen Kingdom,31.9%,68.1%,tt4881806,2018-01-01,128,Action,Adventure,Sci-Fi,6.2,294924,1308467944
Beauty and the Beast,39.9%,60.1%,tt0101414,1991-01-01,84,Animation,Family,Fantasy,8.1,438764,1263521126
Incredibles 2,49%,51%,tt3606756,2018-01-01,118,Action,Adventure,Animation,7.6,282506,1242805359
The Fate of the Furious,18.3%,81.7%,tt4630562,2017-01-01,136,Action,Crime,Thriller,6.6,225601,1236005118
Aquaman,29.2%,70.8%,tt1477834,2018-01-01,143,Action,Adventure,Fantasy,6.9,437438,1148461807
Spider-Man: Far from Home,34.5%,65.5%,tt6320628,2019-01-01,129,Action,Adventure,Sci-Fi,7.4,453880,1131927996
Captain Marvel,37.8%,62.2%,tt4154664,2019-01-01,123,Action,Adventure,Sci-Fi,6.8,526541,1128274794
Joker,31.2%,68.8%,tt7286456,2019-01-01,122,Crime,Drama,Thriller,8.4,1170784,1074251311
Star Wars: Episode IX - The Rise of Skywalker,48%,52%,tt2527338,2019-01-01,141,Action,Adventure,Fantasy,6.5,425208,1074144248
Toy Story 4,40.4%,59.6%,tt1979376,2019-01-01,100,Adventure,Animation,Comedy,7.7,235756,1073394593
Aladdin,33.8%,66.2%,tt0103639,1992-01-01,90,Adventure,Animation,Comedy,8.1,398968,1050693953
Despicable Me 3,25.6%,74.4%,tt3469046,2017-01-01,89,Adventure,Animation,Comedy,6.3,128145,1034799409
Jumanji: Welcome to the Jungle,42%,58%,tt2283362,2017-01-01,119,Action,Adventure,Comedy,6.9,361959,962077546
Bohemian Rhapsody,24%,76%,tt1727824,2018-01-01,134,Biography,Drama,Music,8,511961,903655259
The Battle at Lake Changjin,<0.1%,100%,tt13462900,2021-01-01,176,Action,Drama,History,5.3,2430,902540935
Spider-Man: Homecoming,38%,62%,tt2250912,2017-01-01,133,Action,Adventure,Sci-Fi,7.4,620262,880166924
Wolf Warrior 2,0.3%,99.7%,tt7131870,2017-01-01,123,Action,Adventure,Drama,5.9,7887,870325439
Guardians of the Galaxy Vol. 2,45.1%,54.9%,tt3896198,2017-01-01,136,Action,Adventure,Comedy,7.6,643458,863756051
Venom,24.9%,75.1%,tt1270797,2018-01-01,112,Action,Adventure,Sci-Fi,6.7,460177,856085151
Thor: Ragnarok,36.9%,63.1%,tt3501632,2017-01-01,130,Action,Adventure,Comedy,7.9,688740,853977126
"Hi, Mom",-,100%,tt13364790,2021-01-01,128,Comedy,Romance,NA,7,1857,822009764
Wonder Woman,50.2%,49.8%,tt0451279,2017-01-01,141,Action,Adventure,Fantasy,7.4,632641,821847012
Coco,26.1%,73.9%,tt2380307,2017-01-01,105,Adventure,Animation,Comedy,8.4,470372,807816196
Jumanji: The Next Level,40%,60%,tt7975244,2019-01-01,123,Action,Adventure,Comedy,6.7,235174,800059707
Pirates of the Caribbean: Dead Men Tell No Tales,21.7%,78.3%,tt1790809,2017-01-01,129,Action,Adventure,Fantasy,6.6,293069,794861794
Mission: Impossible - Fallout,27.8%,72.2%,tt4912910,2018-01-01,147,Action,Adventure,Thriller,7.7,318977,791115104
No Time to Die,20.8%,79.2%,tt2382320,2021-01-01,163,Action,Adventure,Thriller,7.3,333515,774153007
Fast & Furious Presents: Hobbs & Shaw,22.9%,77.1%,tt6806448,2019-01-01,137,Action,Adventure,Thriller,6.5,203911,759056935
Deadpool 2,43.4%,56.6%,tt5463162,2018-01-01,119,Action,Adventure,Comedy,7.7,547779,734546611
F9: The Fast Saga,23.8%,76.2%,tt5433138,2021-01-01,143,Action,Crime,Thriller,5.2,119508,726229501
Ne Zha,0.5%,99.5%,tt10627720,2019-01-01,110,Action,Adventure,Animation,7.4,7313,726063471
It,46.8%,53.2%,tt1396484,2017-01-01,135,Horror,NA,NA,7.3,512406,700381748
The Wandering Earth,0.9%,99.1%,tt7605074,2019-01-01,125,Action,Adventure,Sci-Fi,5.9,29885,699856699
Detective Chinatown 3,-,100%,tt10370822,2021-01-01,136,Action,Adventure,Comedy,5.6,1759,686257563
Justice League,34.8%,65.2%,tt0974015,2017-01-01,120,Action,Adventure,Fantasy,6.1,438560,657924295
Fantastic Beasts: The Crimes of Grindelwald,24.4%,75.6%,tt4123430,2018-01-01,134,Adventure,Family,Fantasy,6.5,254868,654855901
Ant-Man and the Wasp,34.8%,65.2%,tt5095030,2018-01-01,118,Action,Adventure,Comedy,7,373633,622674139
Logan,36.6%,63.4%,tt3315342,2017-01-01,137,Action,Drama,Sci-Fi,8.1,721640,619021436
Transformers: The Last Knight,21.5%,78.5%,tt3371366,2017-01-01,154,Action,Adventure,Sci-Fi,5.2,147343,605425157
